,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc13314,0.03,0.03,0.03,0.27,0.27,0.03,0.03,0.28,0.03,0.03,7
Doc13315,0.02,0.02,0.18,0.02,0.18,0.02,0.18,0.18,0.18,0.02,2
Doc13316,0.01,0.01,0.01,0.14,0.25,0.01,0.01,0.01,0.01,0.53,9
Doc13317,0.34,0.01,0.01,0.36,0.11,0.01,0.01,0.01,0.01,0.12,3
Doc13318,0.01,0.26,0.01,0.01,0.23,0.16,0.01,0.14,0.01,0.14,1
Doc13319,0.02,0.35,0.02,0.18,0.02,0.18,0.18,0.02,0.02,0.02,1
Doc13320,0.03,0.03,0.28,0.03,0.03,0.03,0.27,0.28,0.03,0.03,2
Doc13321,0.08,0.01,0.12,0.01,0.16,0.01,0.27,0.09,0.24,0.01,6
Doc13322,0.22,0.22,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0
Doc13323,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.31,5
Doc13324,0.16,0.01,0.44,0.01,0.15,0.01,0.01,0.01,0.01,0.17,2
Doc13325,0.02,0.22,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.22,1
Doc13326,0.01,0.09,0.28,0.31,0.18,0.01,0.01,0.01,0.09,0.01,3
Doc13327,0.32,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.26,0.02,0
Doc13328,0.02,0.02,0.52,0.02,0.02,0.02,0.18,0.02,0.18,0.02,2
Doc13329,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,3
Doc13330,0.01,0.01,0.01,0.18,0.01,0.15,0.34,0.01,0.26,0.01,6
Doc13331,0.01,0.01,0.12,0.01,0.01,0.12,0.57,0.12,0.01,0.01,6
Doc13332,0.16,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.16,0.3,6
Doc13333,0.18,0.21,0.21,0.24,0.01,0.01,0.01,0.11,0.01,0.01,3
Doc13334,0.03,0.33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.47,9
Doc13335,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc13336,0.01,0.16,0.54,0.01,0.01,0.01,0.01,0.01,0.11,0.13,2
Doc13337,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.22,0.22,0.22,6
Doc13338,0.3,0.15,0.01,0.22,0.01,0.01,0.1,0.01,0.01,0.19,0
Doc13339,0.3,0.01,0.16,0.01,0.01,0.01,0.3,0.16,0.01,0.01,0
Doc13340,0.01,0.14,0.14,0.14,0.14,0.01,0.39,0.01,0.01,0.01,6
Doc13341,0.01,0.01,0.01,0.01,0.01,0.17,0.21,0.18,0.01,0.35,9
Doc13342,0.38,0.12,0.01,0.1,0.1,0.01,0.18,0.09,0.01,0.01,0
Doc13343,0.03,0.03,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,6
Doc13344,0.12,0.01,0.26,0.01,0.32,0.01,0.01,0.01,0.23,0.01,4
Doc13345,0.02,0.02,0.02,0.31,0.02,0.33,0.02,0.02,0.22,0.02,5
Doc13346,0.03,0.03,0.03,0.03,0.49,0.03,0.31,0.03,0.03,0.03,4
Doc13347,0.02,0.02,0.02,0.02,0.18,0.35,0.02,0.02,0.18,0.18,5
Doc13348,0.03,0.27,0.03,0.27,0.03,0.03,0.27,0.03,0.03,0.03,1
Doc13349,0.03,0.03,0.03,0.27,0.03,0.03,0.53,0.03,0.03,0.03,6
Doc13350,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc13351,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc13352,0.03,0.27,0.27,0.03,0.03,0.03,0.03,0.28,0.03,0.03,7
Doc13353,0.01,0.12,0.12,0.01,0.34,0.01,0.01,0.01,0.23,0.12,4
Doc13354,0.02,0.22,0.02,0.02,0.02,0.02,0.37,0.27,0.02,0.02,6
Doc13355,0.01,0.14,0.01,0.34,0.01,0.01,0.01,0.18,0.26,0.01,3
Doc13356,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,9
Doc13357,0.02,0.02,0.27,0.28,0.02,0.02,0.02,0.31,0.02,0.02,7
Doc13358,0.02,0.02,0.3,0.02,0.02,0.34,0.02,0.02,0.22,0.02,5
Doc13359,0.02,0.02,0.02,0.59,0.02,0.25,0.02,0.02,0.02,0.02,3
Doc13360,0.01,0.22,0.12,0.01,0.01,0.12,0.12,0.12,0.12,0.14,1
Doc13361,0.03,0.27,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0.03,5
Doc13362,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc13363,0.01,0.16,0.16,0.3,0.01,0.16,0.01,0.01,0.01,0.16,3
Doc13364,0.01,0.01,0.01,0.39,0.01,0.01,0.21,0.17,0.09,0.09,3
Doc13365,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0
Doc13366,0.29,0.01,0.01,0.01,0.21,0.01,0.12,0.01,0.11,0.23,0
Doc13367,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc13368,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc13369,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.27,0.03,4
Doc13370,0.14,0.39,0.01,0.01,0.26,0.01,0.01,0.14,0.01,0.01,1
Doc13371,0.22,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0
Doc13372,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.17,0.01,0.01,6
Doc13373,0.01,0.16,0.01,0.01,0.3,0.16,0.01,0.01,0.01,0.3,4
Doc13374,0.01,0.01,0.17,0.4,0.01,0.01,0.16,0.01,0.01,0.19,3
Doc13375,0.16,0.01,0.16,0.16,0.01,0.16,0.01,0.16,0.16,0.01,0
Doc13376,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc13377,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.27,0.03,6
Doc13378,0.01,0.46,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.15,1
Doc13379,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,8
Doc13380,0.03,0.03,0.03,0.03,0.27,0.52,0.03,0.03,0.03,0.03,5
Doc13381,0.01,0.01,0.01,0.18,0.2,0.01,0.52,0.01,0.01,0.01,6
Doc13382,0.09,0.01,0.1,0.19,0.1,0.01,0.11,0.1,0.09,0.2,9
Doc13383,0.1,0.11,0.21,0.15,0.01,0.11,0.19,0.01,0.1,0.01,2
Doc13384,0.01,0.01,0.14,0.14,0.44,0.01,0.21,0.01,0.01,0.01,4
Doc13385,0.01,0.49,0.01,0.26,0.18,0.01,0.01,0.01,0.01,0.01,1
Doc13386,0.01,0.01,0.08,0.01,0.01,0.23,0.26,0.01,0.08,0.31,9
Doc13387,0.15,0.01,0.01,0.01,0.15,0.01,0.14,0.01,0.01,0.49,9
Doc13388,0.22,0.02,0.02,0.22,0.02,0.02,0.22,0.02,0.02,0.22,0
Doc13389,0.02,0.02,0.02,0.02,0.58,0.26,0.02,0.02,0.02,0.02,4
Doc13390,0.02,0.52,0.02,0.02,0.02,0.18,0.02,0.02,0.18,0.02,1
Doc13391,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.26,0.01,7
Doc13392,0.01,0.01,0.18,0.01,0.01,0.14,0.2,0.12,0.01,0.31,9
Doc13393,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,1
Doc13394,0.01,0.32,0.07,0.01,0.28,0.01,0.12,0.01,0.01,0.17,1
Doc13395,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc13396,0.12,0.01,0.12,0.12,0.01,0.01,0.01,0.23,0.12,0.23,7
Doc13397,0.01,0.01,0.01,0.01,0.01,0.19,0.16,0.19,0.09,0.33,9
Doc13398,0.01,0.01,0.01,0.01,0.01,0.12,0.23,0.23,0.34,0.01,8
Doc13399,0.33,0.01,0.14,0.29,0.01,0.01,0.01,0.01,0.01,0.17,0
Doc13400,0.01,0.01,0.01,0.01,0.37,0.01,0.21,0.01,0.16,0.18,4
Doc13401,0.02,0.02,0.02,0.02,0.6,0.02,0.24,0.02,0.02,0.02,4
Doc13402,0.16,0.01,0.18,0.01,0.39,0.01,0.01,0.01,0.01,0.19,4
Doc13403,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,9
Doc13404,0.35,0.35,0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc13405,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc13406,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc13407,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.27,0.03,0.03,4
Doc13408,0.03,0.03,0.03,0.03,0.49,0.03,0.03,0.03,0.03,0.31,4
Doc13409,0.01,0.01,0.01,0.01,0.01,0.23,0.12,0.46,0.01,0.12,7
Doc13410,0.22,0.11,0.08,0.01,0.15,0.33,0.01,0.01,0.01,0.08,5
Doc13411,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc13412,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0
Doc13413,0.23,0.01,0.01,0.12,0.01,0.12,0.23,0.01,0.01,0.23,0
Doc13414,0.35,0.02,0.18,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc13415,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc13416,0.01,0.01,0.18,0.18,0.01,0.01,0.01,0.19,0.01,0.37,9
Doc13417,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc13418,0.01,0.14,0.23,0.01,0.14,0.01,0.01,0.17,0.01,0.26,9
Doc13419,0.01,0.11,0.41,0.01,0.11,0.01,0.01,0.11,0.11,0.11,2
Doc13420,0.1,0.01,0.01,0.1,0.01,0.1,0.19,0.01,0.01,0.46,9
Doc13421,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc13422,0.22,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc13423,0.19,0.25,0.01,0.1,0.19,0.01,0.13,0.01,0.1,0.01,1
Doc13424,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc13425,0.03,0.03,0.03,0.03,0.36,0.44,0.03,0.03,0.03,0.03,5
Doc13426,0.02,0.02,0.02,0.02,0.02,0.31,0.02,0.02,0.53,0.02,8
Doc13427,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc13428,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc13429,0.18,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.21,1
Doc13430,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc13431,0.01,0.11,0.01,0.01,0.31,0.01,0.28,0.01,0.11,0.14,4
Doc13432,0.01,0.01,0.18,0.24,0.01,0.19,0.16,0.16,0.01,0.01,3
Doc13433,0.01,0.23,0.01,0.01,0.01,0.01,0.2,0.12,0.01,0.38,9
Doc13434,0.16,0.16,0.01,0.16,0.01,0.01,0.16,0.3,0.01,0.01,7
Doc13435,0.14,0.01,0.01,0.16,0.17,0.31,0.01,0.16,0.01,0.01,5
Doc13436,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,3
Doc13437,0.01,0.01,0.01,0.09,0.19,0.25,0.01,0.11,0.24,0.09,5
Doc13438,0.01,0.01,0.2,0.01,0.35,0.18,0.01,0.18,0.01,0.01,4
Doc13439,0.01,0.01,0.17,0.29,0.01,0.01,0.29,0.01,0.01,0.17,3
Doc13440,0.26,0.01,0.01,0.14,0.01,0.01,0.17,0.14,0.23,0.01,0
Doc13441,0.22,0.42,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc13442,0.02,0.02,0.02,0.02,0.02,0.59,0.02,0.02,0.25,0.02,5
Doc13443,0.01,0.44,0.01,0.16,0.01,0.01,0.01,0.16,0.01,0.16,1
Doc13444,0.22,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.02,4
Doc13445,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.16,8
Doc13446,0.18,0.18,0.18,0.18,0.02,0.02,0.18,0.02,0.02,0.02,0
Doc13447,0.16,0.16,0.01,0.16,0.01,0.01,0.01,0.16,0.3,0.01,8
Doc13448,0.01,0.44,0.01,0.13,0.01,0.01,0.23,0.12,0.01,0.01,1
Doc13449,0.01,0.01,0.26,0.01,0.14,0.14,0.01,0.01,0.26,0.14,2
Doc13450,0.03,0.28,0.28,0.03,0.27,0.03,0.03,0.03,0.03,0.03,1
Doc13451,0.15,0.2,0.01,0.01,0.42,0.01,0.01,0.01,0.15,0.01,4
Doc13452,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc13453,0.01,0.3,0.01,0.18,0.01,0.01,0.27,0.01,0.16,0.01,1
Doc13454,0.14,0.01,0.16,0.01,0.01,0.16,0.01,0.01,0.14,0.34,9
Doc13455,0.01,0.23,0.12,0.12,0.01,0.12,0.12,0.01,0.23,0.01,1
Doc13456,0.01,0.31,0.01,0.11,0.11,0.01,0.11,0.31,0.01,0.01,1
Doc13457,0.01,0.01,0.01,0.37,0.01,0.16,0.14,0.26,0.01,0.01,3
Doc13458,0.01,0.01,0.01,0.01,0.01,0.16,0.16,0.01,0.16,0.44,9
Doc13459,0.03,0.03,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,3
Doc13460,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc13461,0.22,0.22,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,7
Doc13462,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.02,1
Doc13463,0.26,0.01,0.01,0.14,0.51,0.01,0.01,0.01,0.01,0.01,4
Doc13464,0.01,0.01,0.26,0.01,0.01,0.26,0.26,0.01,0.14,0.01,2
Doc13465,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc13466,0.09,0.01,0.01,0.1,0.19,0.19,0.31,0.01,0.01,0.1,6
Doc13467,0.02,0.02,0.02,0.27,0.3,0.02,0.02,0.29,0.02,0.02,4
Doc13468,0.14,0.14,0.01,0.26,0.01,0.01,0.01,0.14,0.01,0.26,3
Doc13469,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0.18,0.18,0.02,0
Doc13470,0.01,0.01,0.01,0.16,0.3,0.16,0.01,0.16,0.16,0.01,4
Doc13471,0.28,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.28,0.03,0
Doc13472,0.03,0.03,0.52,0.27,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc13473,0.01,0.32,0.16,0.01,0.47,0.01,0.01,0.01,0.01,0.01,4
Doc13474,0.01,0.01,0.01,0.14,0.01,0.26,0.01,0.01,0.14,0.39,9
Doc13475,0.02,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.42,0.02,8
Doc13476,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc13477,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc13478,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,0.02,8
Doc13479,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc13480,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.28,0.27,8
Doc13481,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,1
Doc13482,0.01,0.23,0.14,0.12,0.22,0.01,0.23,0.01,0.01,0.01,1
Doc13483,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.44,7
Doc13484,0.03,0.03,0.53,0.03,0.03,0.03,0.27,0.03,0.03,0.03,2
Doc13485,0.12,0.34,0.12,0.01,0.01,0.12,0.01,0.23,0.01,0.01,1
Doc13486,0.03,0.03,0.32,0.03,0.03,0.03,0.48,0.03,0.03,0.03,6
Doc13487,0.02,0.02,0.22,0.42,0.02,0.02,0.22,0.02,0.02,0.02,3
Doc13488,0.28,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.27,0
Doc13489,0.14,0.01,0.15,0.31,0.17,0.01,0.01,0.01,0.01,0.16,3
Doc13490,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc13491,0.01,0.22,0.34,0.01,0.01,0.01,0.01,0.01,0.16,0.2,2
Doc13492,0.16,0.01,0.16,0.01,0.16,0.01,0.01,0.01,0.01,0.44,9
Doc13493,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc13494,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.22,0.22,0.02,5
Doc13495,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc13496,0.01,0.21,0.01,0.11,0.01,0.21,0.01,0.01,0.41,0.01,8
Doc13497,0.01,0.18,0.14,0.01,0.14,0.01,0.01,0.01,0.01,0.45,9
Doc13498,0.02,0.02,0.02,0.02,0.02,0.28,0.02,0.3,0.02,0.29,7
Doc13499,0.1,0.28,0.13,0.34,0.01,0.01,0.01,0.11,0.01,0.01,3
Doc13500,0.02,0.18,0.18,0.02,0.02,0.02,0.02,0.35,0.02,0.18,7
Doc13501,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.42,0.02,0.02,7
Doc13502,0.02,0.18,0.02,0.02,0.52,0.18,0.02,0.02,0.02,0.02,4
Doc13503,0.22,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.22,0
Doc13504,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc13505,0.02,0.22,0.42,0.02,0.22,0.02,0.02,0.02,0.02,0.02,2
Doc13506,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.22,0.22,4
Doc13507,0.18,0.01,0.01,0.19,0.29,0.01,0.12,0.1,0.09,0.01,4
Doc13508,0.17,0.01,0.01,0.01,0.3,0.29,0.01,0.01,0.09,0.1,4
Doc13509,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc13510,0.02,0.02,0.02,0.02,0.02,0.52,0.18,0.18,0.02,0.02,5
Doc13511,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,1
Doc13512,0.39,0.14,0.01,0.01,0.01,0.16,0.24,0.01,0.01,0.01,0
Doc13513,0.31,0.01,0.21,0.31,0.01,0.01,0.01,0.11,0.01,0.01,0
Doc13514,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc13515,0.16,0.01,0.01,0.16,0.3,0.16,0.01,0.01,0.01,0.16,4
Doc13516,0.16,0.44,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,1
Doc13517,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,9
Doc13518,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.32,0.02,0.32,7
Doc13519,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc13520,0.01,0.01,0.26,0.09,0.09,0.01,0.17,0.01,0.18,0.17,2
Doc13521,0.25,0.36,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,1
Doc13522,0.02,0.18,0.02,0.21,0.02,0.02,0.29,0.02,0.02,0.22,6
Doc13523,0.01,0.01,0.01,0.14,0.01,0.26,0.14,0.01,0.26,0.14,5
Doc13524,0.02,0.35,0.02,0.18,0.18,0.02,0.18,0.02,0.02,0.02,1
Doc13525,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.42,9
Doc13526,0.29,0.01,0.13,0.01,0.01,0.23,0.11,0.11,0.01,0.09,0
Doc13527,0.02,0.27,0.02,0.39,0.02,0.02,0.23,0.02,0.02,0.02,3
Doc13528,0.02,0.02,0.25,0.02,0.02,0.02,0.39,0.02,0.22,0.02,6
Doc13529,0.49,0.01,0.01,0.01,0.17,0.01,0.25,0.01,0.01,0.01,0
Doc13530,0.01,0.01,0.15,0.18,0.01,0.01,0.14,0.14,0.01,0.34,9
Doc13531,0.02,0.02,0.52,0.02,0.18,0.18,0.02,0.02,0.02,0.02,2
Doc13532,0.02,0.02,0.02,0.42,0.02,0.22,0.02,0.02,0.02,0.22,3
Doc13533,0.12,0.2,0.01,0.01,0.23,0.14,0.01,0.12,0.01,0.14,4
Doc13534,0.21,0.01,0.11,0.01,0.2,0.11,0.12,0.01,0.01,0.21,0
Doc13535,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc13536,0.02,0.02,0.02,0.02,0.02,0.55,0.02,0.02,0.02,0.29,5
Doc13537,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc13538,0.16,0.01,0.01,0.01,0.01,0.01,0.16,0.44,0.16,0.01,7
Doc13539,0.62,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0
Doc13540,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc13541,0.02,0.02,0.21,0.22,0.02,0.02,0.02,0.24,0.02,0.23,7
Doc13542,0.18,0.02,0.02,0.18,0.02,0.02,0.18,0.18,0.18,0.02,0
Doc13543,0.01,0.17,0.01,0.09,0.09,0.01,0.34,0.09,0.09,0.09,6
Doc13544,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0
Doc13545,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.02,0.22,0.22,2
Doc13546,0.22,0.22,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,4
Doc13547,0.15,0.01,0.01,0.01,0.01,0.01,0.08,0.08,0.22,0.44,9
Doc13548,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.52,9
Doc13549,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.22,0.22,3
Doc13550,0.02,0.39,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.25,1
Doc13551,0.34,0.01,0.23,0.14,0.21,0.01,0.01,0.01,0.01,0.01,0
Doc13552,0.01,0.32,0.14,0.01,0.2,0.15,0.01,0.01,0.01,0.13,1
Doc13553,0.12,0.16,0.12,0.13,0.12,0.01,0.21,0.11,0.01,0.01,6
Doc13554,0.52,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc13555,0.01,0.23,0.01,0.01,0.15,0.01,0.01,0.01,0.12,0.43,9
Doc13556,0.22,0.08,0.01,0.15,0.08,0.22,0.01,0.22,0.01,0.01,0
Doc13557,0.01,0.01,0.01,0.01,0.3,0.01,0.3,0.16,0.16,0.01,4
Doc13558,0.01,0.26,0.15,0.01,0.01,0.01,0.38,0.01,0.14,0.01,6
Doc13559,0.39,0.01,0.14,0.14,0.01,0.14,0.14,0.01,0.01,0.01,0
Doc13560,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.28,0.03,6
Doc13561,0.27,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc13562,0.01,0.01,0.01,0.21,0.34,0.01,0.01,0.18,0.01,0.18,4
Doc13563,0.16,0.01,0.01,0.16,0.16,0.16,0.01,0.3,0.01,0.01,7
Doc13564,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.27,0.03,7
Doc13565,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc13566,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,1
Doc13567,0.02,0.35,0.02,0.27,0.24,0.02,0.02,0.02,0.02,0.02,1
Doc13568,0.35,0.35,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0
Doc13569,0.01,0.01,0.35,0.23,0.18,0.01,0.16,0.01,0.01,0.01,2
Doc13570,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.42,9
Doc13571,0.22,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.22,0.02,4
Doc13572,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc13573,0.14,0.26,0.01,0.01,0.01,0.01,0.01,0.14,0.39,0.01,8
Doc13574,0.02,0.02,0.02,0.35,0.02,0.18,0.02,0.02,0.18,0.18,3
Doc13575,0.13,0.01,0.01,0.23,0.01,0.14,0.45,0.01,0.01,0.01,6
Doc13576,0.18,0.18,0.02,0.02,0.18,0.02,0.02,0.02,0.35,0.02,8
Doc13577,0.3,0.01,0.16,0.16,0.16,0.01,0.01,0.01,0.16,0.01,0
Doc13578,0.01,0.01,0.01,0.11,0.23,0.19,0.23,0.19,0.01,0.01,4
Doc13579,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc13580,0.16,0.01,0.01,0.1,0.01,0.01,0.21,0.37,0.01,0.11,7
Doc13581,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,0.02,6
Doc13582,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc13583,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0
Doc13584,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc13585,0.11,0.11,0.31,0.11,0.01,0.21,0.01,0.11,0.01,0.01,2
Doc13586,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc13587,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,1
Doc13588,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc13589,0.01,0.16,0.01,0.17,0.37,0.01,0.21,0.01,0.01,0.01,4
Doc13590,0.22,0.22,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.02,0
Doc13591,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc13592,0.16,0.01,0.16,0.08,0.16,0.01,0.01,0.08,0.08,0.24,9
Doc13593,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc13594,0.19,0.01,0.01,0.1,0.01,0.19,0.1,0.01,0.37,0.01,8
Doc13595,0.22,0.02,0.02,0.26,0.02,0.02,0.38,0.02,0.02,0.02,6
Doc13596,0.16,0.01,0.01,0.01,0.16,0.01,0.16,0.16,0.16,0.16,0
Doc13597,0.18,0.18,0.02,0.02,0.35,0.02,0.18,0.02,0.02,0.02,4
Doc13598,0.09,0.19,0.01,0.01,0.17,0.01,0.18,0.01,0.32,0.01,8
Doc13599,0.34,0.11,0.01,0.01,0.11,0.1,0.01,0.11,0.01,0.2,0
Doc13600,0.26,0.01,0.18,0.15,0.01,0.01,0.01,0.36,0.01,0.01,7
Doc13601,0.01,0.01,0.01,0.18,0.01,0.18,0.01,0.01,0.01,0.55,9
Doc13602,0.14,0.01,0.01,0.14,0.01,0.26,0.39,0.01,0.01,0.01,6
Doc13603,0.02,0.35,0.35,0.02,0.02,0.02,0.18,0.02,0.02,0.02,1
