,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc22917,0.27,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0
Doc22918,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,3
Doc22919,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.43,9
Doc22920,0.01,0.01,0.14,0.51,0.01,0.01,0.01,0.01,0.14,0.14,3
Doc22921,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc22922,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc22923,0.23,0.14,0.01,0.01,0.01,0.15,0.01,0.01,0.12,0.3,9
Doc22924,0.18,0.02,0.02,0.33,0.02,0.18,0.02,0.02,0.2,0.02,3
Doc22925,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc22926,0.02,0.02,0.25,0.02,0.59,0.02,0.02,0.02,0.02,0.02,4
Doc22927,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc22928,0.01,0.21,0.41,0.01,0.01,0.01,0.11,0.11,0.01,0.11,2
Doc22929,0.01,0.17,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.52,9
Doc22930,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc22931,0.52,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc22932,0.16,0.01,0.16,0.16,0.01,0.3,0.16,0.01,0.01,0.01,5
Doc22933,0.09,0.1,0.1,0.19,0.1,0.1,0.21,0.1,0.01,0.01,6
Doc22934,0.22,0.02,0.02,0.26,0.02,0.02,0.02,0.02,0.4,0.02,8
Doc22935,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc22936,0.02,0.22,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc22937,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.27,7
Doc22938,0.1,0.01,0.09,0.24,0.09,0.21,0.01,0.16,0.01,0.09,3
Doc22939,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.27,0.03,7
Doc22940,0.11,0.01,0.01,0.11,0.01,0.11,0.11,0.01,0.21,0.31,9
Doc22941,0.01,0.19,0.15,0.28,0.01,0.15,0.17,0.01,0.01,0.01,3
Doc22942,0.22,0.02,0.42,0.02,0.02,0.22,0.02,0.02,0.02,0.02,2
Doc22943,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.22,0.02,0.02,5
Doc22944,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc22945,0.13,0.14,0.13,0.01,0.01,0.01,0.42,0.01,0.12,0.01,6
Doc22946,0.03,0.27,0.03,0.03,0.28,0.03,0.03,0.28,0.03,0.03,4
Doc22947,0.03,0.03,0.03,0.27,0.28,0.03,0.03,0.03,0.03,0.27,4
Doc22948,0.01,0.12,0.01,0.01,0.01,0.12,0.48,0.12,0.11,0.01,6
Doc22949,0.02,0.02,0.02,0.02,0.02,0.02,0.37,0.02,0.02,0.47,9
Doc22950,0.01,0.25,0.15,0.01,0.01,0.01,0.26,0.26,0.01,0.01,6
Doc22951,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,0.22,7
Doc22952,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0
Doc22953,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc22954,0.02,0.52,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,1
Doc22955,0.01,0.16,0.01,0.39,0.01,0.01,0.01,0.21,0.16,0.01,3
Doc22956,0.01,0.3,0.01,0.01,0.16,0.01,0.16,0.3,0.01,0.01,1
Doc22957,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc22958,0.28,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0
Doc22959,0.01,0.14,0.01,0.01,0.01,0.01,0.35,0.3,0.14,0.01,6
Doc22960,0.18,0.18,0.02,0.18,0.02,0.02,0.02,0.18,0.02,0.18,0
Doc22961,0.21,0.22,0.01,0.01,0.19,0.01,0.22,0.01,0.01,0.11,1
Doc22962,0.03,0.03,0.03,0.03,0.03,0.52,0.28,0.03,0.03,0.03,5
Doc22963,0.02,0.39,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.25,1
Doc22964,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.42,5
Doc22965,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc22966,0.02,0.02,0.02,0.02,0.29,0.02,0.02,0.02,0.02,0.55,9
Doc22967,0.01,0.01,0.01,0.29,0.01,0.26,0.12,0.12,0.01,0.14,3
Doc22968,0.18,0.18,0.02,0.02,0.18,0.02,0.02,0.35,0.02,0.02,7
Doc22969,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc22970,0.14,0.01,0.14,0.01,0.01,0.01,0.14,0.26,0.01,0.26,7
Doc22971,0.03,0.52,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,1
Doc22972,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc22973,0.44,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0
Doc22974,0.01,0.1,0.01,0.09,0.23,0.08,0.22,0.01,0.01,0.25,9
Doc22975,0.14,0.14,0.14,0.14,0.14,0.01,0.26,0.01,0.01,0.01,6
Doc22976,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc22977,0.02,0.18,0.02,0.02,0.47,0.02,0.02,0.23,0.02,0.02,4
Doc22978,0.18,0.02,0.02,0.18,0.02,0.02,0.35,0.02,0.02,0.18,6
Doc22979,0.03,0.03,0.03,0.27,0.03,0.28,0.03,0.03,0.27,0.03,5
Doc22980,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc22981,0.28,0.03,0.27,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc22982,0.02,0.02,0.02,0.2,0.02,0.02,0.67,0.02,0.02,0.02,6
Doc22983,0.02,0.02,0.02,0.02,0.25,0.02,0.59,0.02,0.02,0.02,6
Doc22984,0.01,0.01,0.01,0.07,0.51,0.07,0.08,0.14,0.01,0.1,4
Doc22985,0.01,0.16,0.17,0.15,0.16,0.01,0.31,0.01,0.01,0.01,6
Doc22986,0.11,0.01,0.12,0.12,0.12,0.12,0.27,0.01,0.01,0.12,6
Doc22987,0.14,0.01,0.01,0.15,0.01,0.16,0.48,0.01,0.01,0.01,6
Doc22988,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0
Doc22989,0.01,0.13,0.11,0.17,0.01,0.01,0.01,0.21,0.23,0.11,8
Doc22990,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc22991,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.35,0.35,0.02,7
Doc22992,0.16,0.16,0.01,0.01,0.01,0.16,0.3,0.01,0.16,0.01,6
Doc22993,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc22994,0.25,0.01,0.11,0.01,0.01,0.01,0.4,0.01,0.19,0.01,6
Doc22995,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.18,0.52,9
Doc22996,0.01,0.01,0.14,0.26,0.01,0.01,0.01,0.39,0.01,0.14,7
Doc22997,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc22998,0.01,0.01,0.16,0.16,0.16,0.01,0.16,0.16,0.16,0.01,2
Doc22999,0.03,0.03,0.03,0.27,0.27,0.03,0.03,0.03,0.03,0.28,9
Doc23000,0.02,0.02,0.02,0.28,0.02,0.02,0.35,0.02,0.02,0.25,6
Doc23001,0.01,0.01,0.22,0.19,0.01,0.22,0.14,0.01,0.1,0.1,2
Doc23002,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc23003,0.68,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0
Doc23004,0.01,0.11,0.01,0.11,0.11,0.01,0.01,0.11,0.01,0.51,9
Doc23005,0.01,0.01,0.01,0.01,0.13,0.01,0.31,0.13,0.01,0.36,9
Doc23006,0.02,0.02,0.18,0.18,0.02,0.02,0.18,0.35,0.02,0.02,7
Doc23007,0.03,0.03,0.03,0.32,0.03,0.03,0.48,0.03,0.03,0.03,6
Doc23008,0.01,0.01,0.11,0.11,0.01,0.11,0.13,0.11,0.19,0.22,9
Doc23009,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.42,0.02,8
Doc23010,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.02,0.22,0.22,4
Doc23011,0.18,0.02,0.28,0.02,0.02,0.18,0.02,0.02,0.02,0.25,2
Doc23012,0.02,0.02,0.02,0.02,0.2,0.21,0.02,0.02,0.02,0.47,9
Doc23013,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,0.03,0.03,4
Doc23014,0.02,0.02,0.02,0.5,0.02,0.02,0.34,0.02,0.02,0.02,3
Doc23015,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc23016,0.02,0.62,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc23017,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,1
Doc23018,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0
Doc23019,0.14,0.14,0.01,0.14,0.14,0.01,0.01,0.26,0.01,0.14,7
Doc23020,0.01,0.26,0.14,0.14,0.01,0.01,0.14,0.14,0.14,0.01,1
Doc23021,0.14,0.14,0.01,0.14,0.01,0.01,0.01,0.14,0.14,0.26,9
Doc23022,0.03,0.03,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,6
Doc23023,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.64,9
Doc23024,0.01,0.09,0.01,0.01,0.28,0.01,0.11,0.38,0.01,0.1,7
